"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,NA,0,5.77992,47.9332,0,0,0,0,5.77992,47.9332,0,0,0,0,0.507303,0,0,0,0.552018,0.552018,1981,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,1899.48,0,0,0,57.1498,504.057,0,0,0,0,57.1498,504.057,0,0,0,0.218941,0,0,NA,NA,1981,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1,NA,102124,73.9399,544.133,0,0,0,0,73.9399,544.133,0,0,0,0,1.33158,0,0,0,1.02207,1.02207,1982,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,4384.71,0,0,0,412.76,3354.96,0,0,0,0,412.76,3354.96,0,0,0,0.602215,0,0,NA,NA,1982,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1,NA,353580,213.19,2337.41,0,0,0,0,213.19,2337.41,0,0,0,0,0.0910964,0,0,0,0.776796,0.776796,1983,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,6692.89,0,0,0,159.121,1183.72,0,0,0,0,159.121,1183.72,0,0,0,0.120524,0,0,NA,NA,1983,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1,NA,396085,75.3901,888.594,0,0,0,0,75.3901,888.594,0,0,0,0,0.0152503,0,0,0,-0.253074,-0.253074,1984,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,17454.2,0,0,0,3495.8,26033.9,0,0,0,0,3495.8,26033.9,0,0,0,1.81814,0,0,NA,NA,1984,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1,NA,338177,819.428,7096.55,0,0,0,0,819.428,7096.55,0,0,0,0,0.108219,0,0,0,0.352465,0.352465,1985,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,27143,0,0,0,1019,6864.19,0,0,0,0,1019,6864.19,0,0,0,0.256208,0,0,NA,NA,1985,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1,NA,928666,387.71,3124.87,0,0,0,0,387.71,3124.87,0,0,0,0,0.0450696,0,0,0,0.83655,0.83655,1986,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,30492.5,0,0,0,2278.89,14260.8,0,0,0,0,2278.89,14260.8,0,0,0,0.347942,0,0,NA,NA,1986,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1,NA,1678380,2247.31,21032.5,0,0,0,0,2247.31,21032.5,0,0,0,0,0.359348,0,0,0,0.527856,0.527856,1987,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,53582.7,0,0,0,3639.76,25846.4,0,0,0,0,3639.76,25846.4,0,0,0,0.333156,0,0,NA,NA,1987,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1,NA,2045130,2179.91,19769.3,0,0,0,0,2179.91,19769.3,0,0,0,0,0.181048,0,0,0,-0.238323,-0.238323,1988,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,78637.5,0,0,0,2614.75,19298.2,0,0,0,0,2614.75,19298.2,0,0,0,0.12564,0,0,NA,NA,1988,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1,NA,1315370,7290.44,58671,0,0,0,0,7290.44,58671,0,0,0,0,0.388888,0,0,0,-0.241935,-0.241935,1989,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,134307,0,0,0,8031.52,60463.1,0,0,0,0,8031.52,60463.1,0,0,0,0.41662,0,0,NA,NA,1989,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
1,NA,1986460,6158.42,45405.4,0,0,0,0,6158.42,45405.4,0,0,0,0,0.236295,0,0,0,0.909323,0.909323,1990,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
2,121311,0,0,0,14443.5,108186,0,0,0,0,14443.5,108186,0,0,0,0.687161,0,0,NA,NA,1990,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp40Model"
