"","year","seas","fleet","catch"
"1",2025,1,1,5161.4
"2",2025,2,1,0
"3",2025,1,2,0
"4",2025,2,2,155181
"5",2025,1,3,39.7431
"6",2025,2,3,11.4289
"93",2025,1,1,5161.4
"94",2025,2,1,0
"187",2025,1,2,0
"188",2025,2,2,147476
"281",2025,1,3,39.7431
"282",2025,2,3,11.4289
"931",2025,1,1,0.40513
"941",2025,2,1,0
"1871",2025,1,2,0
"1881",2025,2,2,4
"2811",2025,1,3,0.340094
"2821",2025,2,3,0.145903
