"Value.SSB","Value.Recr","Value.SPRratio","Value.F","Value.Bratio","Value.ForeCatch","Value.OFLCatch","Value.lnSPB","year","model_run","iteration","scenario"
1561.52,714362,0.512136,0.287193,0.00381477,NA,NA,NA,"1982","researchOM_constantgrowthEM_EM_init","1","researchModel"
5585.68,838565,0.161638,0.0604854,0.0136457,NA,NA,NA,"1983","researchOM_constantgrowthEM_EM_init","1","researchModel"
16854.6,774585,0.391205,0.190082,0.0411756,NA,NA,NA,"1984","researchOM_constantgrowthEM_EM_init","1","researchModel"
28337,3752290,0.124854,0.0575874,0.0692268,NA,NA,NA,"1985","researchOM_constantgrowthEM_EM_init","1","researchModel"
41311.6,4768630,0.113104,0.0607934,0.100924,NA,NA,NA,"1986","researchOM_constantgrowthEM_EM_init","1","researchModel"
88354.3,2487760,0.135961,0.0586347,0.215848,NA,NA,NA,"1987","researchOM_constantgrowthEM_EM_init","1","researchModel"
162875,823196,0.0626437,0.0261856,0.397902,NA,NA,NA,"1988","researchOM_constantgrowthEM_EM_init","1","researchModel"
195793,2274740,0.154239,0.0690289,0.47832,NA,NA,NA,"1989","researchOM_constantgrowthEM_EM_init","1","researchModel"
169988,4221120,0.21283,0.106704,0.415277,NA,NA,NA,"1990","researchOM_constantgrowthEM_EM_init","1","researchModel"
126808,3942120,0.291075,0.210016,0.30979,NA,NA,NA,"1991","researchOM_constantgrowthEM_EM_init","1","researchModel"
122978,7632100,0.52361,0.411435,0.300434,NA,NA,NA,"1992","researchOM_constantgrowthEM_EM_init","1","researchModel"
165957,20748800,0.10629,0.0670924,0.405429,NA,NA,NA,"1993","researchOM_constantgrowthEM_EM_init","1","researchModel"
260850,11462100,0.234481,0.167344,0.637252,NA,NA,NA,"1994","researchOM_constantgrowthEM_EM_init","1","researchModel"
516939,14109900,0.114863,0.0551248,1.26287,NA,NA,NA,"1995","researchOM_constantgrowthEM_EM_init","1","researchModel"
718540,22691800,0.0804931,0.0391465,1.75538,NA,NA,NA,"1996","researchOM_constantgrowthEM_EM_init","1","researchModel"
832098,20063700,0.0853746,0.0405105,2.0328,NA,NA,NA,"1997","researchOM_constantgrowthEM_EM_init","1","researchModel"
1014450,4942620,0.148615,0.0718604,2.47829,NA,NA,NA,"1998","researchOM_constantgrowthEM_EM_init","1","researchModel"
1154490,5353390,0.132011,0.056995,2.82041,NA,NA,NA,"1999","researchOM_constantgrowthEM_EM_init","1","researchModel"
1016280,5720370,0.173282,0.0660638,2.48275,NA,NA,13.8317,"2000","researchOM_constantgrowthEM_EM_init","1","researchModel"
775065,955834,0.286314,0.0862664,1.89347,NA,NA,NA,"2001","researchOM_constantgrowthEM_EM_init","1","researchModel"
562426,26883500,0.416968,0.127698,1.374,NA,NA,NA,"2002","researchOM_constantgrowthEM_EM_init","1","researchModel"
376434,19272100,0.359328,0.156277,0.919623,NA,NA,NA,"2003","researchOM_constantgrowthEM_EM_init","1","researchModel"
559971,19447400,0.283091,0.128014,1.368,NA,NA,NA,"2004","researchOM_constantgrowthEM_EM_init","1","researchModel"
839442,11038300,0.283366,0.0997912,2.05074,NA,NA,NA,"2005","researchOM_constantgrowthEM_EM_init","1","researchModel"
1020640,5880530,0.225234,0.0858063,2.4934,NA,NA,NA,"2006","researchOM_constantgrowthEM_EM_init","1","researchModel"
971741,3146450,0.299766,0.117775,2.37395,NA,NA,NA,"2007","researchOM_constantgrowthEM_EM_init","1","researchModel"
782024,5576060,0.359306,0.117975,1.91047,NA,NA,NA,"2008","researchOM_constantgrowthEM_EM_init","1","researchModel"
548333,7172640,0.351998,0.134975,1.33957,NA,NA,NA,"2009","researchOM_constantgrowthEM_EM_init","1","researchModel"
387501,372392,0.327583,0.183078,0.946658,NA,NA,NA,"2010","researchOM_constantgrowthEM_EM_init","1","researchModel"
326915,246485,0.426886,0.214225,0.798649,NA,NA,NA,"2011","researchOM_constantgrowthEM_EM_init","1","researchModel"
195913,305670,0.468242,0.354871,0.478613,NA,NA,NA,"2012","researchOM_constantgrowthEM_EM_init","1","researchModel"
88061.2,740838,0.442448,0.416436,0.215132,NA,NA,NA,"2013","researchOM_constantgrowthEM_EM_init","1","researchModel"
45730.6,1247820,0.277209,0.289596,0.111719,NA,NA,NA,"2014","researchOM_constantgrowthEM_EM_init","1","researchModel"
40929.1,770963,0.0108403,0.00556415,0.0999892,NA,NA,NA,"2015","researchOM_constantgrowthEM_EM_init","1","researchModel"
51299.3,1560830,0.262791,0.128498,0.125323,NA,NA,NA,"2016","researchOM_constantgrowthEM_EM_init","1","researchModel"
