"","year","seas","fleet","catch"
"1",2021,1,1,3535.29
"2",2021,2,1,0
"3",2021,1,2,0
"4",2021,2,2,48712.6
"5",2021,1,3,124.533
"6",2021,2,3,30.0732
"85",2021,1,1,3535.29
"86",2021,2,1,0
"171",2021,1,2,0
"172",2021,2,2,47847.3
"257",2021,1,3,124.533
"258",2021,2,3,30.0732
"851",2021,1,1,1.25794
"861",2021,2,1,0
"1711",2021,1,2,0
"1721",2021,2,2,4
"2571",2021,1,3,0.131778
"2581",2021,2,3,0.0513879
