"","year","seas","fleet","catch"
"1",2020,1,1,185.987632797028
"2",2020,2,1,0
"3",2020,1,2,0
"4",2020,2,2,6181.01463143514
"5",2020,1,3,46.1269160688015
"6",2020,2,3,2.3868702976616
"83",2020,1,1,185.988
"84",2020,2,1,0
"167",2020,1,2,0
"168",2020,2,2,6181.01
"251",2020,1,3,46.1269
"252",2020,2,3,2.38687
"831",2020,1,1,0.0136367
"841",2020,2,1,0
"1671",2020,1,2,0
"1681",2020,2,2,0.2397
"2511",2020,1,3,0.00951666
"2521",2020,2,3,0.000645018
