"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,NA,21880500,13018.2,169581,0,0,27.22,149.914,13018.2,169581,0,0,27.22,149.914,0.0881496,0,0.207026,0,1.9976,1.9976,1997,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,844540,0,0,0,24527.6,307631,0.819999,4.50504,0,0,24527.6,307631,0.819999,4.50504,0,0.0583901,0.00856495,0,NA,NA,1997,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,22086000,18925.2,269965,0,0,488.013,2692.64,18925.2,269965,0,0,488.013,2692.64,0.104095,0,4,0,0.511716,0.511716,1998,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,1002940,0,0,0,63278.4,846736,74.3901,411.128,0,0,63278.4,846736,74.3901,411.128,0,0.133141,1.54766,0,NA,NA,1998,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,4998110,14996.2,206984,0,0,725.201,5401.16,14996.2,206984,0,0,725.201,5401.16,1.44063,0,0.00296788,0,0.355992,0.355992,1999,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,1175100,0,0,0,58341.4,824370,429.589,2979.06,0,0,58341.4,824370,429.589,2979.06,0,0.391719,0.00218615,0,NA,NA,1999,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,4277360,23693.4,278714,0,0,15586.2,115856,23693.4,278714,0,0,15586.2,115856,2.91697,0,0.0535156,0,0.929427,0.929427,2000,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,1051460,0,0,0,35179.2,481446,2336.9,16108.5,0,0,35179.2,481446,2336.9,16108.5,0,0.533773,0.0101448,0,NA,NA,2000,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,7589530,11550.5,140306,0,0,22546,158948,11550.5,140306,0,0,22546,158948,1.84333,0,0.0732578,0,-1.73617,-1.73617,2001,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,786732,0,0,0,41118.2,758804,3136.83,20757.3,0,0,41118.2,758804,3136.83,20757.3,0,1.02751,0.0131464,0,NA,NA,2001,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,527913,16355.4,221789,0,0,35530.8,235068,16355.4,221789,0,0,35530.8,235068,4.00003,0,0.149148,0,2.24031,2.24031,2002,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,584795,0,0,0,36130.7,464627,597.29,3772.61,0,0,36130.7,464627,597.29,3772.61,0,1.63203,0.00335485,0,NA,NA,2002,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,28153000,10340.6,198159,0,0,37242.3,263596,10340.6,198159,0,0,37242.3,263596,2.09091,0,0.197097,0,1.78541,1.78541,2003,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,398038,0,0,0,21300.5,382208,2618.43,17629.8,0,0,21300.5,382208,2618.43,17629.8,0,0.398268,0.018558,0,NA,NA,2003,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,17863400,17049,320789,0,0,46730.8,372499,17049,320789,0,0,46730.8,372499,0.218602,0,0.338745,0,1.895,1.895,2004,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,600956,0,0,0,25249.9,367237,1016.32,7925.28,0,0,25249.9,367237,1016.32,7925.28,0,0.0758082,0.00942388,0,NA,NA,2004,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,19932300,13803,198548,0,0,54152.6,450508,13803,198548,0,0,54152.6,450508,0.295052,0,0.515547,0,0.784705,0.784705,2005,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,877044,0,0,0,30364.3,512823,101.7,784.886,0,0,30364.3,512823,101.7,784.886,0,0.177541,0.00126243,0,NA,NA,2005,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,6566940,20726.2,303109,0,0,41220.9,339142,20726.2,303109,0,0,41220.9,339142,0.500462,0,0.203315,0,0.954919,0.954919,2006,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,1050490,0,0,0,39900.3,557530,0,0,0,0,39900.3,557530,0,0,0,0.279183,0,0,NA,NA,2006,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,7785500,46228,544732,0,0,48237,340918,46228,544732,0,0,48237,340918,1.05632,0,0.310075,0,0.112675,0.112675,2007,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,936666,0,0,0,42910.1,658479,0,0,0,0,42910.1,658479,0,0,0,0.484919,0,0,NA,NA,2007,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,3353540,30249.3,382454,0,0,39800.1,268537,30249.3,382454,0,0,39800.1,268537,1.74749,0,0.21839,0,0.795098,0.795098,2008,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,739976,0,0,0,41198.5,581687,0,0,0,0,41198.5,581687,0,0,0,0.571252,0,0,NA,NA,2008,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,6635550,14044.9,169782,0,0,44841.2,284632,14044.9,169782,0,0,44841.2,284632,0.160586,0,0.314488,0,0.739126,0.739126,2009,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,531477,0,0,0,31146.5,532402,1369.73,8381.97,0,0,31146.5,532402,1369.73,8381.97,0,0.655808,0.0133705,0,NA,NA,2009,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,6274340,11274,158368,0,0,54085.9,334197,11274,158368,0,0,54085.9,334197,0.183964,0,0.518716,0,-2.20433,-2.20433,2010,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,399426,0,0,0,27267.6,438297,0.0899999,0.540507,0,0,27267.6,438297,0.0899999,0.540507,0,0.407976,1.27211e-06,0,NA,NA,2010,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,330553,24871.4,278263,0,0,39750.5,270872,24871.4,278263,0,0,39750.5,270872,0.298787,0,0.399235,0,-3.00705,-3.00705,2011,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,338590,0,0,0,23189.9,255495,5805.63,37775.7,0,0,23189.9,255495,5805.63,37775.7,0,2.46334,0.086286,0,NA,NA,2011,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,148125,1528.37,14777.2,0,0,91425.5,667504,1528.37,14777.2,0,0,91425.5,667504,0.0191668,0,1.44743,0,-2.51793,-2.51793,2012,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,197285,0,0,0,13884.9,127038,1570.78,10932.5,0,0,13884.9,127038,1570.78,10932.5,0,2.04936,0.0432038,0,NA,NA,2012,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,241572,921.559,6776.06,0,0,57218.1,409623,921.559,6776.06,0,0,57218.1,409623,0.36928,0,1.5292,0,-1.4937,-1.4937,2013,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,84040.8,0,0,0,5625.02,45781.4,908.01,6128.71,0,0,5625.02,45781.4,908.01,6128.71,0,0.371245,0.0422836,0,NA,NA,2013,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,672769,1830.92,13447.9,0,0,15216.8,100071,1830.92,13447.9,0,0,15216.8,100071,0.774677,0,0.706602,0,-1.0985,-1.0985,2014,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,39881.5,0,0,0,727.71,8236.13,2193.87,13797.8,0,0,727.71,8236.13,2193.87,13797.8,0,0.125841,0.164565,0,NA,NA,2014,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,998840,6.13,38.0589,0,0,66.28,363.422,6.13,38.0589,0,0,66.28,363.422,0.000646047,0,0.182008,0,-1.45015,-1.45015,2015,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,35201.2,0,0,0,185.82,1235.96,1.29,7.06327,0,0,185.82,1235.96,1.29,7.06327,0,0.0309792,0.00490817,0,NA,NA,2015,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,702711,283.54,1787.66,0,0,173.15,950.126,283.54,1787.66,0,0,173.15,950.126,0.0570805,0,0.692092,0,-1.16153,-1.16153,2016,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,43924.2,0,0,0,7080.54,57342,0.0499999,0.273942,0,0,7080.54,57342,0.0499999,0.273942,0,2.03612,0.0003094,0,NA,NA,2016,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,937833,170.41,1275.22,0,0,1.17,6.42019,170.41,1275.22,0,0,1.17,6.42019,0.0756708,0,0.00604711,0,-2.08735,-2.08735,2017,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,46469.2,0,0,0,6229.42,48192.3,2.21999,12.1614,0,0,6229.42,48192.3,2.21999,12.1614,0,1.00658,0.0156203,0,NA,NA,2017,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,408054,35.31,259.763,0,0,7.85999,43.1916,35.31,259.763,0,0,7.85999,43.1916,0.00979186,0,0.0459832,0,-0.11244,-0.11244,2018,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,49740.9,0,0,0,11819.4,93094.2,2.50999,13.7657,0,0,11819.4,93094.2,2.50999,13.7657,0,1.85078,0.0202455,0,NA,NA,2018,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,4276580,130.86,931.497,0,0,7.72999,42.4774,130.86,931.497,0,0,7.72999,42.4774,0.0313336,0,0.0352078,0,0,0,2019,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,44370.9,0,0,0,11819.4,92000,2.51,13.7656,0,0,11819.4,92000,2.51,13.7656,0,2.40922,0.0158121,0,NA,NA,2019,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,4785510,6.55437,46.0624,0,0,0.327258,1.79276,6.55437,46.0624,0,0,0.327258,1.79276,0.00192858,0,0.00133081,0,-2.13191,-2.13191,2020,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,90001.1,0,0,0,952.382,8210.38,0.110749,0.605965,0,0,952.382,8210.38,0.110749,0.605965,0,0.105478,0.000603603,0,NA,NA,2020,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,567614,0.00104312,0.00791971,0,0,5.19198e-05,0.000284466,0.00104312,0.00791971,0,0,5.19198e-05,0.000284466,1.47771e-07,0,3.6344e-07,0,-0.488963,-0.488963,2021,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,176070,0,0,0,0.266068,2.46258,1.68345e-05,9.21205e-05,0,0,0.266068,2.46258,1.68345e-05,9.21205e-05,0,2.21271e-05,1.57685e-07,0,NA,NA,2021,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,2934770,185.537,1431.22,0,0,1.17389,6.43633,185.537,1431.22,0,0,1.17389,6.43633,0.0152695,0,0.0135433,0,0.404186,0.404186,2022,"constGrowth_test2_OM","1","constGrowth_compNsamp"
2,191510,0,0,0,10313.3,77976.7,0.338002,1.85059,0,0,10313.3,77976.7,0.338002,1.85059,0,0.259425,0.00525237,0,NA,NA,2022,"constGrowth_test2_OM","1","constGrowth_compNsamp"
1,NA,7169100,0.0102515,0.0714586,0,0,0.000125795,0.000691031,0.0102515,0.0714586,0,0,0.000125795,0.000691031,3.58705e-07,0,1.92799e-06,0,-3.39207,-3.39207,2023,"constGrowth_test2_OM","1","constGrowth_compNsamp"
