ParName   Value   Gradient
F_rate[110]       2.2045 1.62689e-007
F_rate[111]    0.0725606 -5.57409e-007
F_rate[112]      2.57735 3.11482e-007
F_rate[113]    0.0797694 1.27917e-007
F_rate[114]      1.22429  3.7373e-007
F_rate[115]     0.309144 1.80053e-007
F_rate[116]   0.00919729 3.90853e-007
F_rate[117]  0.000231871 -2.54413e-005
F_rate[118]    0.0309901 -1.80077e-006
F_rate[119] 1.16894e-005 3.34006e-005
F_rate[120]  0.000221447 -1.52667e-005
F_rate[121]  0.000537481 -1.06405e-005
F_rate[122]   0.00123066 -7.9179e-006
F_rate[123]  0.000513754  -1.138e-005
F_rate[124]   0.00108323 -6.87354e-006
F_rate[125]  0.000457632 -1.31726e-005
selparm[1]      13.4069 2.09518e-006
selparm[2]      2.04106 2.77649e-007
selparm[3]     0.500031  9.2155e-009
selparm[4]     -2.72906 5.28689e-006
selparm[5]     0.446739 6.12275e-006
selparm[6]    -0.883951   2.902e-006
selparm[7]    -0.864753 2.56705e-008
selparm[8]    -0.730651 2.08725e-007
selparm[9]    -0.310794 -2.82431e-008
selparm[10]     0.148096 1.05506e-008
selparm[11]     -7.82091  6.0868e-012
selparm[13]    -0.404312 8.08289e-006
selparm[14]    -0.536549 5.54167e-006
selparm[15]    0.0597065 5.04915e-006
selparm[16]     -1.18345  4.1672e-007
selparm[17]     0.671121 4.07507e-007
selparm[18]     -1.08627 -4.20399e-007
selparm[19]     0.532557 -2.2538e-007
selparm[20]      -8.7195 -1.44972e-008
selparm[21]      3.54382 2.58721e-006
selparm[22]      1.75083 -2.66282e-006
selparm[24]    0.0557423 2.56315e-008
selparm[25]      7.11436 -7.10007e-010
selparm[26]        7.493 -6.15614e-009
selparm[27]     0.592442 -1.25412e-008
selparm[29]      8.23246 -5.62448e-010
selparm[31]      1.02272 -5.24335e-009
selparm[32]      10.3765 -1.09038e-009
