"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,NA,0,5.77992,47.9332,0,0,0,0,5.77992,47.9332,0,0,0,0,0.507303,0,0,0,0.552018,0.552018,1981,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,1899.48,0,0,0,57.1498,504.057,0,0,0,0,57.1498,504.057,0,0,0,0.218941,0,0,NA,NA,1981,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,102124,73.9399,544.133,0,0,0,0,73.9399,544.133,0,0,0,0,1.33158,0,0,0,1.02207,1.02207,1982,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,4384.71,0,0,0,412.76,3354.96,0,0,0,0,412.76,3354.96,0,0,0,0.602215,0,0,NA,NA,1982,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,353580,213.19,2337.41,0,0,0,0,213.19,2337.41,0,0,0,0,0.0910964,0,0,0,0.776796,0.776796,1983,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,6692.89,0,0,0,159.121,1183.72,0,0,0,0,159.121,1183.72,0,0,0,0.120524,0,0,NA,NA,1983,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,396085,75.3901,888.594,0,0,0,0,75.3901,888.594,0,0,0,0,0.0152503,0,0,0,-0.253074,-0.253074,1984,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,17454.2,0,0,0,3495.8,26033.9,0,0,0,0,3495.8,26033.9,0,0,0,1.81814,0,0,NA,NA,1984,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,338177,819.428,7096.55,0,0,0,0,819.428,7096.55,0,0,0,0,0.108219,0,0,0,0.352465,0.352465,1985,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,27143,0,0,0,1019,6864.19,0,0,0,0,1019,6864.19,0,0,0,0.256208,0,0,NA,NA,1985,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,928666,387.71,3124.87,0,0,0,0,387.71,3124.87,0,0,0,0,0.0450696,0,0,0,0.83655,0.83655,1986,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,30492.5,0,0,0,2278.89,14260.8,0,0,0,0,2278.89,14260.8,0,0,0,0.347942,0,0,NA,NA,1986,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,1678380,2247.31,21032.5,0,0,0,0,2247.31,21032.5,0,0,0,0,0.359348,0,0,0,0.527856,0.527856,1987,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,53582.7,0,0,0,3639.76,25846.4,0,0,0,0,3639.76,25846.4,0,0,0,0.333156,0,0,NA,NA,1987,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,2045130,2179.91,19769.3,0,0,0,0,2179.91,19769.3,0,0,0,0,0.181048,0,0,0,-0.238323,-0.238323,1988,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,78637.5,0,0,0,2614.75,19298.2,0,0,0,0,2614.75,19298.2,0,0,0,0.12564,0,0,NA,NA,1988,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,1315370,7290.44,58671,0,0,0,0,7290.44,58671,0,0,0,0,0.388888,0,0,0,-0.241935,-0.241935,1989,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,134307,0,0,0,8031.52,60463.1,0,0,0,0,8031.52,60463.1,0,0,0,0.41662,0,0,NA,NA,1989,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,1986460,6158.42,45405.4,0,0,0,0,6158.42,45405.4,0,0,0,0,0.236295,0,0,0,0.909323,0.909323,1990,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,121311,0,0,0,14443.5,108186,0,0,0,0,14443.5,108186,0,0,0,0.687161,0,0,NA,NA,1990,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,5826840,24698,160919,0,0,0,0,24698,160919,0,0,0,0,1.12773,0,0,0,0.652911,0.652911,1991,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,99619,0,0,0,10323.5,80009,0,0,0,0,10323.5,80009,0,0,0,0.706271,0,0,NA,NA,1991,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,3877360,43769.2,344279,0,0,3.89973,20.2439,43769.2,344279,0,0,3.89973,20.2439,3.99961,0,0.047702,0,1.558,1.558,1992,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,102996,0,0,0,30857.9,391245,0.179996,0.934272,0,0,30857.9,391245,0.179996,0.934272,0,3.70162,0.0030027,0,NA,NA,1992,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,9838120,822.8,9929.31,0,0,0,0,822.8,9929.31,0,0,0,0,0.0177567,0,0,0,2.03517,2.03517,1993,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,167357,0,0,0,11345.8,154156,0,0,0,0,11345.8,154156,0,0,0,0.155762,0,0,NA,NA,1993,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,22618500,8838.69,100661,0,0,0,0,8838.69,100661,0,0,0,0,0.116137,0,0,0,1.11881,1.11881,1994,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,266872,0,0,0,39748.4,605560,0,0,0,0,39748.4,605560,0,0,0,0.308653,0,0,NA,NA,1994,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,12136900,5993.28,65072.3,0,0,22.68,119.698,5993.28,65072.3,0,0,22.68,119.698,0.0961805,0,0.22287,0,0.776758,0.776758,1995,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,553976,0,0,0,26565.7,393086,0,0,0,0,26565.7,393086,0,0,0,0.164973,0,0,NA,NA,1995,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,12275300,11917.3,121922,0,0,0,0,11917.3,121922,0,0,0,0,0.0809166,0,0,0,1.17217,1.17217,1996,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,799956,0,0,0,19158.7,239398,43.54,231.691,0,0,19158.7,239398,43.54,231.691,0,0.104256,0.631173,0,NA,NA,1996,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,20741900,13018.2,172989,0,0,27.22,146.518,13018.2,172989,0,0,27.22,146.518,0.152805,0,0.22985,0,1.16828,1.16828,1997,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,864301,0,0,0,24527.6,318029,0.82,4.40536,0,0,24527.6,318029,0.82,4.40536,0,0.112389,0.00967611,0,NA,NA,1997,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,21150200,18925.2,283339,0,0,488.25,2687.57,18925.2,283339,0,0,488.25,2687.57,0.212921,0,2.90758,0,-0.377071,-0.377071,1998,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,898362,0,0,0,63278.4,923145,74.3899,410.64,0,0,63278.4,923145,74.3899,410.64,0,0.27518,0.748313,0,NA,NA,1998,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,4560870,14996.2,223326,0,0,725.2,5379.85,14996.2,223326,0,0,725.2,5379.85,1.95917,0,0.00281558,0,-0.545145,-0.545145,1999,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,1043900,0,0,0,58341.4,887380,429.589,2942.37,0,0,58341.4,887380,429.589,2942.37,0,0.799184,0.00205096,0,NA,NA,1999,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,4015480,23809.5,287761,0,0,15585.6,116673,23809.5,287761,0,0,15585.6,116673,3.72865,0,0.0519846,0,0.0098429,0.0098429,2000,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,1004250,0,0,0,35179.3,497282,2336.9,15848.3,0,0,35179.3,497282,2336.9,15848.3,0,1.1479,0.00961148,0,NA,NA,2000,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,6924520,11550.5,133128,0,0,22546,153800,11550.5,133128,0,0,22546,153800,2.32231,0,0.0691834,0,-1.36898,-1.36898,2001,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,770852,0,0,0,41118.5,702688,3136.84,19553,0,0,41118.5,702688,3136.84,19553,0,1.25265,0.0120875,0,NA,NA,2001,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,1615030,16322.9,223494,0,0,35531.5,217001,16322.9,223494,0,0,35531.5,217001,4.00002,0,0.142272,0,1.84975,1.84975,2002,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,592378,0,0,0,36130.6,476811,597.289,3452.91,0,0,36130.6,476811,597.289,3452.91,0,1.3401,0.00316347,0,NA,NA,2002,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,36835300,10340.6,186733,0,0,37242.3,249273,10340.6,186733,0,0,37242.3,249273,2.3867,0,0.183522,0,1.56541,1.56541,2003,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
2,419139,0,0,0,21300.5,383711,2618.44,16500.2,0,0,21300.5,383711,2618.44,16500.2,0,0.221935,0.0171147,0,NA,NA,2003,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
1,NA,23972200,17049,363999,0,0,46730.8,353412,17049,363999,0,0,46730.8,353412,0.8259,0,0.321021,0,1.43706,1.43706,2004,"0_estimate_cohort_growh_OM","1","5pctAnnChangeNsamp20Model"
